Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
2265.31,4,Asparagus Omelet,Whey Chocolate Shake,Peach and Blueberry Parfait,Cauliflower and Hummus Snack,"Turkey, Ham, and Avocado on Rye"
2265.31,5,Avocado & Smoked Salmon Omelet,Yogurt with Pumpkin & Cinnamon,Tropical Green Protein Smoothie,Cherry Tomatoes with Feta,
2553.62,3,Smoked Salmon and Mushroom Scramble,Almond Butter Banana Toast,Banana Orange Smoothie,,
2553.62,4,Chocolate PB & Banana Protein Shake,Oranges,Red Eye Protein Parfait,Green salad,Trail Mix
2553.62,5,Spinach and Poached Egg Muffins,Blueberry Yogurt,Strawberry Protein Shake,Cucumber Avocado Salad,
2841.94,3,Smoked Salmon and Egg Tortilla,Cottage Cheese & Peaches,Post-Workout Peanut Butter Shake,,
2841.94,4,Vegetable 3 Egg Scramble,Yogurt & Applesauce,Vanilla Protein Milkshake,"Avocado, Strawberry, and Spinach Salad",Matcha Green Tea Chia Pudding
2841.94,5,Herb Omelette with Fried Tomatoes,Banana,Tuna Salad,Creamy Mango Smoothie,
3130.25,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Cinnamon Toast,Sardine Salad Sandwich,,
3130.25,4,Spicy Avocado Toast,Yogurt with Toasted Coconut,Chocolate peanut protein shake,Easy Spinach and Scallion Salad,SuperGreen Chia Pudding
3130.25,5,Grown-Up PB&J Toast,Whey Chocolate Shake,Turkey Hummus Wrap,Mango Strawberry Salad,
1897.75,3,Tomatillo and Avocado Scramble,Raspberry Mango Sunrise Smoothie,Cool Summer Cucumber Chicken and Tomato Toss,,
1897.75,4,"Turkey, Ham, and Avocado on Rye","Toast with Pear, Ricotta, & Honey",Greek Yogurt with Blue and Blackberries,Edamame Slaw,Peaches & Almond Butter on Toast
1897.75,5,Mushroom Spinach Omelet Recipe,Toast with Tomato and Hummus,Chocolate Peanut Butter Oatmeal Protein Shake,Lebanese Tomato and Onion Salad,
2277.3,3,Scrambled Eggs on Toast with Vegemite and Avocado,Yogurt & Pineapple,"Berry, Spinach, and Avocado Smoothie",,
2277.3,4,Greek Yogurt and Berry Parfait,Vegan Breakfast Potatoes,Chicken Celery Sticks,Raspberry Mango Sunrise Smoothie,"Turkey, Ham, and Avocado on Rye"
2277.3,5,Zucchini Hash,Honey and Melon Cottage Cheese,Lemon-Pepper Tuna Sandwich,Plum and Greek Yogurt Snack,
2609.41,3,Monte Cristo sandwich,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Tuna Salad,,
2609.41,4,Basic Egg White Omelet,Whey Chocolate Shake,Cilantro Crab & Corn Stuffed Peppers,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Red Pepper Turkey Roll-ups
2609.41,5,Egg Whites on Toast,Yogurt & Apricots,Mocha Berry Almond Smoothie,Mushroom and Pepper Tossed Salad,
2941.51,3,Smoked Salmon and Egg Tortilla,Spanish-style Toast with Tomato,Oatmeal Banana Peanut Butter Chocolate Shake,,
2941.51,4,English Muffin Ham Breakfast Sandwich,Yogurt & Strawberries,Paleo Avocado Tuna Salad (Tuna in Water),"Blueberry, Banana, and Strawberry Smoothie",Tuna Salad  Wrap
2941.51,5,Breakfast Parfait,Apples and Almond Butter,Tropical Green Protein Smoothie,Easy Cucumber Lemon Salad,
3273.62,3,Banana Mash Muscle Muffins,Cinnamon Toast,Yogurt Chocolate Banana Shake,,
3273.62,4,"Scrambled Eggs, Avocado, and Smoked Salmon on Toast",Yogurt & Raisins,Strawberry Smoothie Bowl,Green Bean Healthy Tuna Salad,Classic Tuna Salad
3273.62,5,Pumpkin Pie Spiced Waffles,Cinnamon Yogurt with Sliced Apple,Strawberry Oatmeal Protein Smoothie,Spinach and Broccoli Salad,
3605.72,3,Zucchini Hash,Fried Rice,Chocolate and Banana Kefir Smoothie,,
3605.72,4,Chicken & Mayo Bagel,Pecans,Creamy Green Chia Smoothie,Tuna Apple Salad,Turkey Veggie Hummus Wrap
3605.72,5,Blueberry Almond Butter Protein Smoothie,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese",Paleo Avocado Tuna Salad (Tuna in Oil),Strawberry Pear Juice,
1385,3,Grown-Up PB&J Toast,Yogurt & Cantaloupe,Creamy Green Chia Smoothie,,
1385,4,Blackberry Yogurt Parfait,Microwave Poached Eggs,Lime Chicken Salad,"Cucumber, Pineapple, Melon Smoothie",Basic chicken salad
1385,5,"Bacon and Egg Scramble with Bell Peppers, Mushrooms, and Onions",Yogurt & Strawberries,Sardine Salad Sandwich,Very Green Veggie Protein Smoothie,
1662,3,Greek Yogurt and Berry Parfait,"Toast with Berries, Basil & Cream Cheese",Lemon-Pepper Tuna Sandwich,,
1662,4,Mushroom Spinach Omelet Recipe,Peanut Butter and Peach Toast,Orange Creamsicle Protein Shake,Mixed Greens with Sliced Cucumber and Avocado,"Toast with Tomato, Onion, & Hummus"
1662,5,Poached Egg and Crispy Prosciutto Toast,Cantaloupe,Raspberries and Blackberries Protein Smoothie,Turkey and Avocado Wrap,
1904.38,3,Sweet potato bacon and egg salad,Toast with Blueberries and Cream Cheese,Strawberry Smoothie,,
1904.38,4,Chocolate Peanut Butter Oatmeal Protein Shake,Granola,Paleo Avocado Chicken Salad,Spicy Yogurt Dip with Carrots,Avocado Chickpea Lettuce Wraps
1904.38,5,Egg White Avocado & Tomato Scramble,"Rice Cake with Peanut Butter, Pear, and Honey",Yogurt with Avocado & Basil,Cream cheese and salsa pinwheels,
2146.75,3,Broccoli with Sesame Egg Ribbons,"Toast with Tomato, Onion, & Hummus",Protein Yogurt and Blueberries,,
2146.75,4,Chocolate Avocado Toast,"Peanut Butter, Spinach, and Banana Smoothie",Cilantro Crab & Corn Stuffed Peppers,Meditteranean Salad,Trail Mix
2146.75,5,Egg and Onion Scramble,"Toast with Pear, Ricotta, Honey, and Peanut Butter",Vanilla Banana Protein Shake,Edamame Slaw,
2389.12,3,Spinach and Poached Egg Muffins,Yogurt with Walnuts & Honey,Chocolate PB & Banana Protein Shake,,
2389.12,4,"Spinach, Pepper, and Tomato Scramble on Toast",Yogurt with Almonds & Honey,Mango Protein Shake,Cauliflower and Tahini,Curried Popcorn
2389.12,5,Toasted Camembert and Pear Sandwich,Light Raspberry yogurt,Chicken and avocado salad,"Spinach, Pineapple, and Mango Berry Smoothie",
2631.5,3,Bacon Breakfast Tacos,Plum and Greek Yogurt Snack,Strawberry Smoothie Bowl,,
2631.5,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Chocolate Date Shake,Barbecue tuna sandwich,Chopped Radish and Avocado Salad,Trail Mix
2631.5,5,Tomatillo and Avocado Scramble,Yogurt & Honeydew Melon,Sunrise Smoothie,Pineapple & Avocado Salad,
1771.5,3,Smoked Salmon and Mushroom Scramble,Raspberry Mango Sunrise Smoothie,Quick Avocado Tuna Sandwich,,
1771.5,4,Multi-grain Toast with Almond Butter and Honey,Cottage Cheese with Apples & Cinnamon,Simple Lemon Pepper Tuna,"Avocado, Strawberry, and Spinach Salad",Brie cheese on bread
1771.5,5,Tomatillo and Avocado Scramble,Apple,Hummus Avocado Toast,Nonfat greek yogurt,
2125.8,3,Banana Peanut Butter Chia Pudding,Cottage Cheese & Apricots,Very Berry Greek Yogurt,,
2125.8,4,Blueberry Chard Protein Smoothie,Bacon,Sardine Salad Sandwich,Edamame Slaw,Prosciutto-Wrapped Pears with Blue Cheese
2125.8,5,Blackberry Almond Butter Sandwich,Yogurt & Strawberries,Tropical Green Protein Smoothie,Thai Cucumber Salad,
2435.81,3,"""Banana Cream Pie"" Oatmeal",Cinnamon Apple Delight,Strawberry Protein Shake,,
2435.81,4,Simple Strawberry Protein Shake,Granola,Cool Summer Cucumber Chicken and Tomato Toss,"Rice Cake with Peanut Butter, Pear, and Honey","Turkey, Ham, and Avocado on Rye"
2435.81,5,Spinach and Poached Egg Muffins,Avocado Rice Cake,Mango Orange Smoothie,Lettuce Cucumber Walnut Salad,
2745.83,3,Ham and Asparagus Fritatta,Apple,Banana Avocado Protein Smoothie,,
2745.83,4,Oat Bran Pancake,Chocolate Avocado Smoothie,Turkey Wrap,"Yogurt with Beets, Orange, Dill, and Honey",Trail Mix
2745.83,5,Chocolate Peanut Butter Pancakes,Cinnamon Toast,White Bean & Veggie Salad,Yogurt & Strawberries,
3055.84,3,Smoked Salmon and Egg Tortilla,Yogurt with Walnuts & Honey,Oatmeal Banana Peanut Butter Chocolate Shake,,
3055.84,4,Cinnamon Oatmeal Pancakes,Cherry Berry Protein Smoothie,Paleo Avocado Tuna Salad (Tuna in Oil),Yogurt & Applesauce,Mango Orange Smoothie
3055.84,5,Banana Protein Pancakes,Apple Slice Sandwich,Cilantro Crab & Corn Stuffed Peppers,"Yogurt with Blueberries, Sunflower Seeds, and Honey",
3365.85,3,Scrambled Eggs with Bacon and Avocado,Yogurt & Dried Mango,1000 Calorie Shake,,
3365.85,4,Ham and Asparagus Fritatta,5-Minute Healthy Strawberry Frozen Yogurt,Quick Avocado Tuna Sandwich,Ants on a Log,Chilled Cucumber Avocado Soup
3365.85,5,Grilled Breakfast Pizza,Fruit Salad,Protein Yogurt and Blueberries,"Banana, Almond Butter, and Dates",
2048.75,3,Yogurt with Avocado & Basil,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Banana and Berries Smoothie,,
2048.75,4,Blueberry Almond Chia Pudding,Light Nectarine Yogurt,Sunrise Smoothie,Cherry Tomatoes with Feta,Almonds and Blueberries Yogurt Snack
2048.75,5,Pumpkin Protein Pancakes,Chocolate Avocado Smoothie,Quick Avocado Tuna Sandwich,Cheesy Cucumber and Tomato Snack Stacks,
2458.5,3,Mixed Berry Morning Smoothie,Apples and Almond Butter on Toast,Apple Walnut Parfait,,
2458.5,4,Korean-Style Steamed Eggs,Whey Chocolate Shake,Cilantro Crab & Corn Stuffed Peppers,Sprout Salad,Trail Mix
2458.5,5,Protein Southwest Scramble,Yogurt & Banana Chips,"Mango, Berry, Flax Smoothie",Tuna in Cucumber Cups,
2817.03,3,Pumpkin Pecan Oatmeal,Apple,Oatmeal Banana Peanut Butter Chocolate Shake,,
2817.03,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Banana Orange Smoothie,Simple Cottage Cheese Salad,Chicken Breast with Rice,Chicken Caesar Wraps
2817.03,5,Blueberry Almond Butter Protein Smoothie,Buttered Toast,Kale White Bean and Pesto Salad,Yogurt & Applesauce,
3175.56,3,Cinnamon Swirl Pumpkin Pie Protein Pancakes,Rice Cake with Peanut Butter and Chocolate Chips,Chocolate Blueberry Protein Shake,,
3175.56,4,Pumpkin Pecan Oatmeal,Mini Avocado and Hummus Quesadilla,Post-Workout Peanut Butter Shake,Tuna in Cucumber Cups,Red Pepper Turkey Roll-ups
3175.56,5,Post-Workout Banana Protein Smoothie,Apple Slice Sandwich,Cilantro Crab & Corn Stuffed Peppers,Yogurt & Apricots,
3534.09,3,Pumpkin Pecan Oatmeal,"Toast with Figs, Ricotta, and Honey",Mango chia seed pudding,,
3534.09,4,Spicy Avocado Toast,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Fruit yogurt smoothie,Ants on a Log,Chicken and avocado salad
3534.09,5,Pumpkin Pie Spiced Waffles,Yogurt with Pumpkin & Cinnamon,Chocolate peanut protein shake,Edamame Slaw,
3892.62,3,Chicken & Mayo Bagel,Peanut Butter Bagel,Coconut Banana Oatmeal Smoothie,,
3892.62,4,"Peanut Butter, Banana, and Oatmeal Pancakes","Rice Cake with Peanut Butter, Pear, and Honey",Avocado Breakfast Smoothie,Mediterranean Chopped Salad,Vegan Mexican Tortilla Roll Ups
3892.62,5,Blueberry Protein Oatmeal,Plum and Greek Yogurt Snack,Paleo Avocado Tuna Salad (Tuna in Oil),Apple Pie Kefir Smoothie,
1966.5,3,Banana Almond Shake,"Toast with Pear, Ricotta, & Honey",Simple Ham and Lettuce Sandwich,,
1966.5,4,Black Bean Omelet,Orange Dream Protein Smoothie,Hummus Avocado Toast,Yogurt with Papaya,"Rice Cake with Peanut Butter, Blackberries & Honey"
1966.5,5,Strawberry Almond Trim Smoothie,Turkish Style Zucchini Fritters,Very Berry Greek Yogurt,Strawberry and Walnut Spinach Salad,
2359.8,3,"Berry, Spinach, and Avocado Smoothie",Apples and Almond Butter on Toast,Kale White Bean and Pesto Salad,,
2359.8,4,Sticky Bun Chia Seed Pudding,Yogurt with Cucumber & Lox,Chicken Celery Sticks,Orange and Pomegranate Salad,White Bean & Artichoke Toast
2359.8,5,Basic scrambled eggs,Yogurt with Pumpkin & Cinnamon,Cilantro Crab & Corn Stuffed Peppers,Quick Grapefruit,
2703.94,3,Smoked Salmon and Egg Tortilla,Buttered Toast with Cinnamon,Banana Avocado Protein Smoothie,,
2703.94,4,Raspberry Peanut Butter Protein Smoothie,Camembert on Garlic Bread,Apple Walnut Parfait,Mixed Greens with Sliced Cucumber and Avocado,Sun-Dried Tomato Turkey Rollups
2703.94,5,Matcha Scrambled Eggs with Lime,Yogurt with Apricot and Grapefruit,Cool Summer Cucumber Chicken and Tomato Toss,Easy Cucumber Lemon Salad,
3048.08,3,Avocado and Egg Toast,Cottage Cheese with Apples & Cinnamon,Oatmeal Banana Peanut Butter Chocolate Shake,,
3048.08,4,Avocado and Salmon Toast,Strawberry and Almond Butter Fruit Smoothie,Blueberry Kale Salad,Yogurt & Banana Chips,Chicken and avocado salad
3048.08,5,Cheesy Scrambled Eggs,Spanish-style Toast with Tomato,Strawberry Protein Yogurt Smoothie,Basic Tossed Salad,
3392.21,3,Banana Pancakes,Nonfat greek yogurt,Post-Workout Peanut Butter Shake,,
3392.21,4,Blueberry Almond Butter Protein Smoothie,Raspberry Yogurt Parfait,Spicy Tuna and Cottage Cheese Bowl,Pomegranate Salad,Classic Tuna Salad
3392.21,5,Pumpkin Pie Spiced Waffles,Blueberry Yogurt,Blueberry Almond Butter Protein Smoothie,Arugula Avocado Salad,
3736.35,3,Devilled Egg Toast,Strawberry Kiwi Peanut Butter Breakfast Smoothie,Mango chia seed pudding,,
3736.35,4,Peanut Butter Protein Yogurt,Protein Berry Crumble,Strawberry Oatmeal Protein Smoothie,Arugula Salad with Grapefruit dressing,Classic Tuna Salad
3736.35,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Greek Yogurt and Jam Parfait,Mango Banana Smoothie,Cucumber Avocado Caprese Salad,
1927.5,3,Hard Boiled Egg and Avocado Bowl,Yogurt with Pumpkin & Cinnamon,Turkey Veggie Hummus Wrap,,
1927.5,4,Avocado & Smoked Salmon Omelet,Cinnamon Yogurt with Sliced Apple,Peach Protein Smoothie,Turkey and Avocado Wrap,"Toast with Figs, Ricotta, & Sesame Seeds"
1927.5,5,Spinach and Mushroom Eggs,Apple Toast,Post-Workout Banana Protein Smoothie,Easy Spinach and Scallion Salad,
2313,3,Breakfast Greek Yogurt Delight,Peaches and Almond Butter on Toast,Blueberry Almond Butter Protein Smoothie,,
2313,4,Coconut Mango Tropical Green Smoothie,Pecans,Berry Granola Parfait,"Turkey, Kale, and Goat Cheese Roll-Up",Antipasto "No-Bread" Rollups
2313,5,Banana and Berries Smoothie,Bacon,Hummus Avocado Toast,Light Nectarine Yogurt,
2650.31,3,Bacon Breakfast Tacos,Cottage Cheese & Peaches,Banana Avocado Protein Smoothie,,
2650.31,4,Raspberries and Blackberries Protein Smoothie,Cinnamon Banana Mug Cake,Protein Yogurt and Blueberries,Mixed Greens with Sun-Dried Tomato Dressing,Orange Creamsicle Protein Shake
2650.31,5,Protein Breakfast Burrito,"Cinnamon, Honey, Apple Cottage Cheese",Simple Ham and Lettuce Sandwich,Simple Mixed Greens Salad,
2987.62,3,Banana Mash Muscle Muffins,Buttered Toast,Yogurt with Avocado & Basil,,
2987.62,4,Peanut Butter Raisin Oatmeal,Yogurt with Cucumber & Lox,Chicken Celery Sticks,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Classic Tuna Salad
2987.62,5,Oat Bran Pancake,Cinnamon Banana Mug Cake,Chocolate PB & Banana Protein Shake,Apple Celery Salad,
3324.94,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Cinnamon Apple and Honey Toast,Avocado Breakfast Smoothie,,
3324.94,4,Pumpkin Pecan Oatmeal,Buttered Toast,Banana Orange Smoothie,Brie cheese on bread,Chicken and avocado salad
3324.94,5,Oatmeal and Apples,Protein-boosted Yogurt,Tuna with Avocado,Apple Pie Kefir Smoothie,
3662.25,3,Banana Mash Muscle Muffins,Yogurt & Raisins,Tuna Stuffed Pepper,,
3662.25,4,Coconut Flour Pancake,Cherry Berry Protein Smoothie,Hummus Pocket Sandwich,Tuna Apple Salad,Avocado and Veggie Salad
3662.25,5,Pumpkin Pecan Oatmeal,Oranges,Paleo Avocado Tuna Salad (Tuna in Oil),Orange Dream Protein Smoothie,
1597.75,3,English Muffin Breakfast Pizza,Buttered Toast,"Berry, Spinach, and Avocado Smoothie",,
1597.75,4,"Ham, Egg, and Spinach Roll-Ups",Apple Toast,Raspberry Peanut Butter Protein Smoothie,Simple Arugula and Bacon Bits Salad,Peaches & Almond Butter on Toast
1597.75,5,Coconut Flour English Muffins,Yogurt & Banana,Tuna Poke,"Strawberry, Peach, and Chia Smoothie",
1917.3,3,Spiced Sweet Potato and Goat Cheese Egg Skillet,Light Peach Yogurt,Spicy Tuna Salad,,
1917.3,4,Protein Banana Egg Pancakes,Fruit Salad,Quick Avocado Tuna Sandwich,Balsamic Arugula Salad,Red Pepper & Tomato Salad
1917.3,5,Banana Flax Pancakes,Goat Cheese on Toasted Bread with Tomato,Baby Carrot Banana Smoothie,Simple Spinach Salad,
2196.91,3,Blueberry Almond Butter Protein Smoothie,Granola,Peach and Blueberry Parfait,,
2196.91,4,Egg in a nest,Yogurt Peanut Butter Dip & Apples,Tuna Salad,Cantaloupe,Orange Creamsicle Protein Shake
2196.91,5,Sausage and Egg White Scramble,Banana,Tuna & White Bean Salad,Bell Pepper and Hummus Snack,
2476.51,3,Protein Banana Egg Pancakes,Cinnamon Banana Mug Cake,Post-Workout Peanut Butter Shake,,
2476.51,4,Hummus Avocado Toast,3 Herb Breakfast Patties,Simple Ham and Lettuce Sandwich,Avocado Rice Cake,Balsamic Red Wine Glazed Filet Mignon
2476.51,5,3-Vegetable Tofu Scramble,Creamy Green Chia Smoothie,Easy Spinach and Scallion Salad,Trail Mix,
2756.12,3,"Eggs, Cheese, and Mushroom Omelet",Strawberry and Almond Butter Fruit Smoothie,Quick and Easy Chicken Salad Sandwich,,
2756.12,4,Peach Cobbler Oatmeal,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Peaches and Cream Protein Shake,Edamame Slaw,Trail Mix
2756.12,5,Protein Yogurt and Blueberries,Blueberries,Strawberry Protein Shake,Avocado Rice Cake,
3035.72,3,Avocado and Egg Toast,Yogurt & Mango,1000 Calorie Shake,,
3035.72,4,Orange Creamsicle Protein Shake,Apple Slice Sandwich,Paleo Avocado Tuna Salad (Tuna in Oil),"Yogurt with Blueberries, Sunflower Seeds, and Honey",Classic Tuna Salad
3035.72,5,Oatmeal banana protein shake,Bacon,Cool Summer Cucumber Chicken and Tomato Toss,Chopped Radish and Avocado Salad,
2238.75,3,Sunrise Smoothie,Peaches & Almond Butter on Toast,Peach and Blueberry Parfait,,
2238.75,4,Peanut Butter Raspberry Oatmeal,Yogurt with Almonds & Honey,Blueberry Almond Butter Protein Smoothie,Easy Tossed Salad,Trail Mix
2238.75,5,Strawberry Almond Trim Smoothie,Granola,Almonds and Blueberries Yogurt Snack,Peach and Peanut Butter Snack,
2686.5,3,"Scrambled Eggs, Avocado, and Smoked Salmon on Toast",Yogurt & Pineapple,Tropical Orange Protein Smoothie,,
2686.5,4,Breakfast Greek Yogurt Delight,Peaches & Almond Butter on Toast,"Berry, Spinach, and Avocado Smoothie",Peach Caprese Salad,Trail Mix
2686.5,5,Huevos Pericos,Yogurt & Banana,Turkey Veggie Hummus Wrap,Feta and Veggie Salad,
3078.28,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Buttered Toast,Avocado Breakfast Smoothie,,
3078.28,4,Chocolate & Berry Avocado Smoothie,Blueberry Yogurt,Salmon Wrapped Avocado,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Turkey Wrap
3078.28,5,Breakfast Greek Yogurt Delight,Peaches and Almond Butter on Toast,Post-Workout Peanut Butter Shake,Balsamic Arugula Salad,
3470.06,3,Ham and Veggie Omelet,Cherry Berry Protein Smoothie,Quick Avocado Tuna Sandwich,,
3470.06,4,Ham and Asparagus Fritatta,Honey Grapefruit with Banana,Tuna Mex Tuna Salad,Peanut Butter and Date Shake,Avocado and Veggie Salad
3470.06,5,Ham and Egg Scramble,Whey Chocolate Shake,Red Eye Protein Parfait,Pineapple & Avocado Salad,
3861.84,3,Chocolate Banana Protein Pancakes,Cinnamon Honey Cottage Cheese,Cucumber Crab Sushi,,
3861.84,4,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Fried Rice,Greek Chickpea Salad,Strawberry and Almond Butter Fruit Smoothie,Vegan Mexican Tortilla Roll Ups
3861.84,5,Sausage and Egg Breakfast Sandwich,"Cinnamon, Honey, Apple Cottage Cheese",Oatmeal banana protein shake,Yogurt with Walnuts & Honey,
4253.62,3,Pumpkin Pecan Oatmeal,Gluten Free Chocolate Protein Muffins,Mango chia seed pudding,,
4253.62,4,Simple Strawberry Protein Shake,Peanut Butter Bagel,Avocado & White Bean Salad,Very Berry Cottage Cheese,Turkey Veggie Hummus Wrap
4253.62,5,"Peanut Butter, Banana, and Oatmeal Pancakes",PB & Dates Energy Bites,Oatmeal Banana Peanut Butter Chocolate Shake,Asian Avocado,
1879,3,Broccolli Hash with Fried Egg,Yogurt & Honeydew Melon,Banana and Berries Smoothie,,
1879,4,Cinnamon Protein Oats,Pecans,Cottage Cheese with Raspberries,Apples and Almond Butter,Avocado Chickpea Lettuce Wraps
1879,5,Caprese Eggs and Portabella Mushrooms,Rice Cakes with Banana & Almond Butter,Lime Chicken Salad,Berry Kiwi Yogurt Smoothie,
2254.8,3,Low Carb Pancakes,Peanut Butter Banana Smoothie,Hummus Pocket Sandwich,,
2254.8,4,Blueberry Almond Chia Pudding,Yogurt & Honeydew Melon,Raspberries and Blackberries Protein Smoothie,Basic Tossed Salad,"Turkey, Cheddar, and Mustard Sandwich"
2254.8,5,Pumpkin Protein Pancakes,Chocolate Avocado Smoothie,"Turkey, corn and tomato wrap",Yogurt with Matcha & Toasted Coconut,
2583.62,3,Apple Pecan Steel Cut Oats,Yogurt with Cucumber & Lox,"Berry, Spinach, and Avocado Smoothie",,
2583.62,4,Strawberry Almond Trim Smoothie,Cinnamon Banana Mug Cake,Tuna Poke,Waldorf-ish Salad,Sun-Dried Tomato Turkey Roll-up
2583.62,5,Strawberry French Toast,Yogurt & Strawberries,Chicken and avocado salad,Hummus Chickpea Snack Sandwiches,
2912.45,3,Muesli and Yogurt with Chia,Cherry Berry Protein Smoothie,Salmon Wrapped Avocado,,
2912.45,4,Savory Cr?pes,Peanut Butter Banana Smoothie,Red Eye Protein Parfait,"Turkey, Kale, and Goat Cheese Roll-Up",Tuna Salad  Wrap
